chipset,benchmark
Radeon R5 PRO A6-9500E 2C+4G,771
GeForce 730A,771
GeForce 9800 GTX,769
Quadro K1000M,767
Radeon HD 6800M,767
"Radeon R5 PRO A6-9500 R5, 8 COMPUTE CORES 2C+6G",765
Radeon HD 8650G + HD 8600/8700M Dual,764
Radeon HD 6650M,764
Mobility Radeon HD 5850,763
Radeon HD 6450 + 8470D Dual,763
Radeon R5 435,762
Radeon HD 7660G + HD 7500/7600 Dual,760
Radeon R7 FX-9800P RADEON,760
Quadro 2000M,759
Radeon HD 7660G + HD 8500M Dual,758
Radeon HD 8650G + HD 8600M N HD 8600M Dual,758
Radeon HD 7660G + 7700M Dual,757
Quadro 1100M,755
Radeon HD 7640G + 7450M Dual,754
Radeon HD 8570D + HD 7000 Dual,753
IncrediblE HD 4600,750
Radeon R7 A8-7650K,750
Radeon M535DX,750
Radeon HD 7640G + 7650M Dual,747
Radeon HD 7660G + HD 8600/8700M Dual,747
Radeon HD 8670D + R5 330 Dual,746
Radeon HD 7660G + 7610M Dual,746
Radeon R5 235 + HD 7560D Dual,744
Radeon HD 7660G + 7670M Dual,743
GeForce GT 730A,743
Radeon HD 8650G + 7600M Dual,742
Intel Iris 5100,739
Intel Poison Ivy,739
GeForce GT 340,738
Radeon HD 7670M + 7670M Dual,738
Radeon R5 235 + HD 8570D Dual,738
Radeon R7 A10 PRO-7800B,733
Quadro K420,732
Radeon R5 A10-9620P 4C+6G,732
Radeon R7 A10-7800,730
GRID P4-1Q,730
Radeon HD 7550M/7650M,729
GRID K140Q,728
Radeon Vega 3 Ryzen Embedded R1505G,727
Radeon HD 6670,726
Quadro K600,726
Radeon R7 A12-9720P RADEON,723
Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M D,723
Radeon HD 8650G + R5 M200 Dual,723
GeForce GTX 850A,721
Asus GTX 650 FML II EC-EGPU,721
Mobility Radeon HD 4870,720
Radeon HD 7540D + 6570 Dual,720
Radeon HD 8670D + HD 7000 Dual,719
GeForce 920M,718
Radeon HD 8470D + 6450 Dual,717
Radeon R7 PRO A8-8650B,717
Radeon HD 8650G + HD 8570M Dual,716
Intel UHD Graphics 615,715
Quadro K610M,713
Radeon HD 7660G + HD 8670M Dual,711
"Radeon R5 A10-9600P RADEON R5, 10 COMPUTE CORES 4C",708
Radeon HD 6550A,708
"Radeon R5 A10-9630P RADEON R5, 10 COMPUTE CORES 4C",707
Radeon HD 7660G + HD 7670M Dual,707
Radeon HD 7640G + 7600M Dual,706
Radeon R5 A6-7480,705
Radeon R7 A12-9700P RADEON,705
Radeon HD 7660G N HD 7660G + HD 7670M Dual,705
Radeon HD 7640G + HD 7600M Dual,704
GeForce GT 640M LE,701
Radeon HD 7570M/HD 7670M,699
Radeon R5 PRO A10-8730B 4C+6G,695
Radeon R7 PRO A12-9800B,695
Radeon R5 PRO A6-9500B 2C+4G,693
"Radeon R5 A6-9500E RADEON R5, 6 COMPUTE CORES 2C+4",692
Intel HD 615,691
Radeon HD 7640G + 7700M Dual,691
Radeon R5 PRO A6-8530B 2C+4G,690
Radeon HD 7640G + 8600/8700M Dual,689
Intel UHD Graphics 610,688
GeForce GT 630,688
Radeon Vega 3 Ryzen 3 3250U,687
Intel HD 610,687
Radeon HD 8650G + R5 M230 Dual,686
Radeon HD 6630M,685
NVS 510,684
GRID P40-3Q,681
Radeon HD 8650G N HD 8650G + HD 8600M N HD 8600M D,680
Radeon HD 7640G N HD 7640G + HD 7670M Dual,680
GeForce GTS 160M,679
Radeon HD 7640G + HD 8670M Dual,677
Radeon Vega 3 Athlon 320GE,677
Radeon HD 8610G + R5 M200 Dual,676
Quadro FX 4700 X2,676
Radeon Athlon Silver 3050U,673
Radeon R8 M535DX,670
GeForce GT 740A,668
GeForce GT 530,666
Radeon HD 7640G + HD 8500M N HD 8500M Dual,666
FirePro M7740,665
Radeon HD 8550G + 8690M Dual,664
"Radeon R5 PRO A6-8570E R5, 6 COMPUTE CORES 2C+4G",663
GeForce GT 720,661
Qualcomm Adreno 7c+ Gen 3,661
FireGL V7700,660
Radeon HD 2900 XT,660
Radeon R5 PRO A8-9600B 4C+6G,659
GeForce GT 140,658
Mi Pad 5 Adreno 640 GPU,658
GRID RTX6000-2Q,656
GeForce 810A,655
Radeon HD 7640G + 8750M Dual,655
GeForce GT 735M,655
Radeon HD 8550G + HD 8600/8700M Dual,655
Radeon HD 8650G + 8570M Dual,654
GeForce GT 555M,653
"Radeon R5 A10-9620P RADEON R5, 10 COMPUTE CORES 4C",652
Radeon HD 8650G + HD 8750M Dual,652
Radeon Vega 3 Athlon Gold 3150U,652
Radeon HD 7520G + HD 8750M Dual,651
GRID K1,651
SUMO 9640,650
Radeon R5 M430,649
Radeon R7 A8 PRO-7600B,648
Radeon R7 M340,647
Radeon R8 M365DX,647
FireStream 9170,647
Radeon HD 6670 + 6670 Dual,647
Radeon HD 8610G + HD 8500M Dual,646
GeForce GTS 360M,645
Radeon HD 7640G + 7670M Dual,645
Radeon HD 7540D + HD 6450 Dual,643
GeForce 8800 Ultra,643
Quadro K510M,641
Intel HD 515,638
Radeon R5 PRO A6-8570E 2C+4G,638
Radeon HD 7640G + 7400M Dual,637
Radeon HD 8450G + 8750M Dual,637
FirePro V3900,637
GeForce 9800 S,636
Radeon HD 8650G + 8670M Dual,635
Radeon HD 8650G + HD 7670M Dual,634
Radeon HD 7660D + HD 7000 Dual,634
Radeon HD 7610M,632
Radeon HD 7640G + HD 7700M N HD 7700M Dual,631
Radeon HD 7660G + 7470M Dual,631
Intel HD P4600/P4700,630
Radeon HD 8510G + HD 8500M Dual,630
Radeon R7 PRO A10-9700B,629
GRID K160Q,628
Intel HD 4600,628
Radeon HD 2900 PRO,628
Radeon HD 7640G + 7500/7600 Dual,627
Radeon HD 8650G + 8500M Dual,627
Radeon HD 7520G + HD 8600/8700M Dual,624
GeForce GT 710,622
Radeon HD 8570 + 8670D Dual,620
Intel HD 510,620
Intel HD 4600 manual-gen9_2015-134121,620
Radeon HD 8550G + R5 M200 Dual,619
Radeon R7 PRO A12-8800B,619
Radeon R5 A10-9600P 4C+6G,619
Radeon HD 8550G + 8600M Dual,618
Radeon HD 7500G + 7500M/7600M Dual,617
NVS 5400M,617
FireGL V7600,616
Radeon HD 5600/5700,615
Intel UHD 630,615
Radeon HD 8650G + 8600M Dual,613
Radeon R6,613
GeForce 9800 GX2,613
Radeon HD 8550G N HD 8550G + HD 8600M N HD 8600M D,612
Radeon HD 7570,612
7900 MOD - Radeon HD 6520G,610
Radeon HD 8610G + 8500M Dual,610
Radeon R7 A360,608
Radeon HD 7640G + HD 8500M Dual,607
Radeon HD 8650G + HD 8600M Dual,606
Radeon R6 M255DX,605
"Radeon R5 A6-9400 RADEON R5, 6 COMPUTE CORES 2C+4G",605
"Radeon R5 PRO A10-8730B R5, 10 COMPUTE CORES 4C+6G",603
GeForce GT 430,603
Radeon HD 8550G + 8500M Dual,603
Radeon HD 8610G + 8670M Dual,600
Matrox C420 LP PCIe x16,597
"Radeon R6 PRO A8-8600B R6, 10 Compute Cores 4C+6G",597
Radeon HD 8510G + 8500M Dual,596
Radeon R5 M330,596
Radeon HD 7640G + 7470M Dual,595
GeForce 910M,595
Intel HD 5500,594
Radeon HD 8550G + HD 8600M Dual,594
Surface Duo Adreno 640 GPU,592
GeForce 9800 GTX/9800 GTX+,591
Radeon HD 7520G + 7600M Dual,591
Radeon HD 7640G + HD 7700M Dual,589
Radeon HD 8610G + 8600M Dual,589
Radeon HD 7520G + 7610M Dual,588
Radeon HD 7660G + 7400M Dual,588
Radeon HD 7660G + 8670M Dual,588
Radeon HD 7640G + HD 8600/8700M Dual,587
Radeon HD 3870 X2,587
Radeon R5 A6-8500P,587
Radeon R7 M360,586
Radeon HD 7640G + 8500M Dual,586
Radeon HD 8650G + HD 8670M Dual,585
XiaoMi 9 Adreno 640 GPU,585
GeForce GTX 285M,584
Radeon R7 A8-7A8-7600,583
Intel HD 5000,583
Radeon HD 7520G + 7500/7600 Dual,582
RadeonT Ryzen 3 3250U,582
Radeon Vega 3 Ryzen Embedded R1305G,581
Moore Threads MTT S30,580
Radeon R7 PRO A12-8830B,580
Radeon HD 8550G + 8670M Dual,579
TRINITY DEVASTATOR MOBILE,579
"Radeon R5 PRO A8-9600B R5, 10 COMPUTE CORES 4C+6G",579
Radeon HD 8450G + R5 M230 Dual,578
Radeon HD 8610G + HD 8670M Dual,578
GeForce 720A,577
Radeon HD 7620G + 8670M Dual,577
Intel Skylake HD DT GT2,577
Radeon HD 7640G + HD 7400M Dual,577
Radeon R5 A240,576
GeForce GTX 280M,576
Radeon HD 7520G + HD 7700M Dual,575
Quadro FX 3800M,575
Radeon R5 420,575
Radeon HD 7520G N HD 7520G + HD 7500/7600 7500/760,575
GeForce GT 720A,574
GeForce GTS 250,572
Quadro 500M,571
Radeon R6 + R7 M265DX Dual,571
Radeon HD 7560D + 6450 Dual,569
Radeon HD 7660G + HD 7600M Dual,568
Radeon HD 8550D,567
Radeon HD 7650A,567
GeForce 8800 GTX,566
GeForce GT 550M,566
Radeon HD 6610M,565
Radeon R7E,565
Radeon HD 7560D + R5 235 Dual,563
Radeon Athlon PRO 3045B,563
Radeon HD 7640G + R5 M200 Dual,559
Radeon HD 6570,559
Radeon HD 8550G + HD 8500M Dual,559
Radeon HD 7640G + 8670M Dual,558
Quadro 1000M,558
Radeon HD 7640G + 8570M Dual,558
GeForce 820A,556
Radeon R5 240,554
GF117,554
GeForce GTS 250M,554
Radeon HD 3870,552
Radeon R7 7850A10-7850K,551
"Radeon R6 PRO A10-8700B R6, 10 Compute Cores 4C+6G",551
FireGL V8650,550
GeForce GTS 240,550
GeForce 8800 GTS 512,550
GeForce GT 635M,549
Radeon R5 M335,549
GeForce GT 820M,548
Radeon HD 8550G + HD 7600M Dual,548
Mobility Radeon HD 3870,548
FirePro 3D V5700,547
Radeon HD 8550G + HD 8670M Dual,546
Radeon Vega 3 3020e,546
Radeon HD 8450G + 8600M Dual,545
FirePro 3D V7750,545
Radeon R5 M255,545
Radeon HD 7520G + HD 7400M Dual,545
Radeon HD 7600G + HD 8670M Dual,544
Quadro FX 2700,543
Radeon HD 7520G + 7470M Dual,543
Radeon R6 A10-8700P,542
Qualcomm Adreno 675 GPU,540
Radeon R6 PRO A10-8700B 4C+6G,538
Radeon R7 M265,536
GeForce GT 435M,536
GeForce 9800M GS,534
Radeon HD 7560D + HD 7000 Dual,534
Radeon 6600M,534
GRID K180Q,534
Radeon HD 8670D,533
Radeon HD 8550G + 8570M Dual,533
Radeon R6 PRO A8-8600B 4C+6G,532
RADEON HD6530D,532
Radeon HD 8550G + HD 8570M Dual,529
Radeon HD 7640G + 6400M Dual,527
Radeon R7 M260,526
Radeon HD 7600G N HD 7600G + HD ON HD Dual,526
GeForce GT 630M,526
Mobility Radeon HD 5570,525
Quadro FX 5600,525
Intel HD 4400,525
Quadro 600,524
Radeon HD 7660D + R5 235 Dual,524
Radeon HD 7520G + 7670M Dual,523
Radeon R5 330,523
Radeon Vega 2 Athlon Silver 3050U,521
MCT USB3.0 External Device,520
Radeon HD 8670M,520
Radeon HD 7640G + HD 7670M Dual,519
IncrediblE HD 4000,517
Intel HD P4000,516
Radeon HD 8650G,512
Mobility Radeon HD 4830,512
Radeon HD 8690A,512
"Radeon R5 PRO A6-8500B R5, 6 Compute Cores 2C+4G",511
Radeon HD 7660D,511
Radeon HD 7640G + 7610M Dual,510
GRID RTX6000-4Q,509
Radeon HD 7600G + HD 7550M Dual,509
Radeon HD 7620G + 8600M Dual,509
Radeon R5 PRO A6-8500B 2C+4G,508
Radeon HD 7620G + HD 8670M Dual,507
Mobility Radeon HD 5730,507
GeForce 615,507
Radeon Vega 2,506
Intel HD P4600,506
GeForce GT 425M,505
GeForce GTS 150M,504
Radeon HD 8450G + HD 8750M Dual,504
NVS 5200M,501
GeForce GT 240,500
Radeon R7 M265DX,499
TRINITY SCRAPPER MOBILE,498
SUMO 964A,498
Radeon R5 M420,497
Radeon HD 7500G + 7550M Dual,497
ASUS EAH4870x2,496
Radeon HD 7520G + HD 7670M Dual,495
Quadro FX 1800M,494
Radeon HD8530M,490
Radeon HD 8670D N HD 8670D + HD 8670D Dual,489
Radeon 3020e,489
GeForce 9800 GTX+,489
Radeon HD 8550G + R5 M230 Dual,488
Radeon R4E,487
Radeon HD 7520G + 7400M Dual,487
GeForce 710A,486
GeForce GT 625M,485
GeForce 820M,484
Radeon HD 7660G,482
Radeon HD 8610G + HD 8600M Dual,481
Quadro K500M,480
Radeon Vega 3 Athlon Silver 3050e,479
Mobility Radeon HD 5000 Serisi,479
Radeon R5 M315,478
Mobility Radeon HD 3870 X2,478
Radeon HD 8450G + HD 8670M Dual,478
GeForce 800M,477
Radeon HD 5570,477
GeForce 9600 GT,477
Radeon HD 7600G + HD 7500M/7600M Dual,477
GeForce 800A,477
GeForce GT 540M,476
Radeon R6 A8-8600P,475
Radeon HD 8450G + 8670M Dual,475
Radeon HD 7640G + HD 8570M Dual,475
Radeon R5 M240,474
Radeon HD 7670M,474
FirePro 3D V3800,472
Radeon HD 8570D + R5 235 Dual,471
GeForce GT 320,470
Radeon R5 M320,467
Quadro FX 3600M,467
SUMO 9644,466
Radeon HD 7660D + 7470 Dual,466
Radeon HD 7550M,465
FirePro V5700,465
Intel HD Family,465
"Radeon R5 PRO A6-8530B R5, 6 COMPUTE CORES 2C+4G",464
Mobility Radeon HD 4670,463
GeForce 8800M GTX,462
GeForce 8800 GT,460
Radeon HD 7660G + HD 7600M N HD 7600M Dual,460
Radeon HD 7640G,456
GeForce 705M,456
GeForce 9800M GTX,454
Radeon HD 7520G + 7650M Dual,453
GeForce GT 525M,452
Radeon HD 8450G + HD 8600M Dual,452
Radeon HD 7620G N HD 7620G + HD 8600M N HD 8600M D,452
GeForce GT625M,451
GeForce 9800 GT,451
Quadro FX 3700M,451
Radeon HD 7560D,451
Radeon HD 8570M,450
GeForce 710M,449
Radeon HD 7520G + HD 7600M Dual,447
Radeon HD 7660G + 8600M Dual,446
PHDGD Ivy 5,445
GeForce GT 720M,444
Radeon HD 8500M,443
Radeon HD 7620G + HD 8600M Dual,443
Mobility Radeon HD 5650,442
Radeon HD 7650M,436
Radeon HD 7600G + HD Dual,435
Radeon HD 8410G,435
Quadro 410,435
GeForce GT 710M,433
Radeon HD 3850 AGP,432
GeForce GT 620M,432
Radeon HD 8570D,431
GeForce GT 420,431
Radeon HD 7570M,426
FirePro M2000,426
Radeon HD 7640G + HD 7500/7600 Dual,424
Radeon HD 7600G + 7550M Dual,423
RADEON HD6410D,423
Radeon HD 7640G N HD 7640G + HD 8570M Dual,423
Radeon R5 M230,421
Intel 4th Generation Haswell HD,420
GeForce 810M,417
Radeon HD 8550G,417
Radeon R5 Opteron X3216,416
Quadro FX 2800M,415
"Radeon R5 PRO A6-9500B R5, 6 COMPUTE CORES 2C+4G",408
Quadro FX 4600,408
Radeon HD 7470M,408
Radeon HD 7640G + HD 7600M N HD 7600M Dual,407
SiliconMotion SM768 WDDM2.0 Display Driver,407
GeForce 8800 GTS,407
Radeon HD 7600G + 7500M/7600M Dual,406
Intel HD 5300,406
RADEON E4690,405
Radeon HD 8610G,403
Radeon HD 3850,401
Quadro FX 1800,401
Mobility Radeon HD 4650,401
Radeon HD 6550D,400
GeForce GT 330,397
Radeon HD 8650D,396
GeForce GT 420M,395
Radeon HD 7600G + 7450M Dual,390
IncrediblE HD,389
GeForce 7900 GTX,388
GeForce GT 620,384
GeForce 8800M GTS,382
Radeon HD 4670,382
GeForce 9800M GT,381
GeForce GT 130,381
GeForce GTX 260M,381
GeForce GTS 350M,381
Radeon HD 6490M,378
Radeon HD 7520G + 8750M Dual,377
Radeon HD 7600G + 6400M Dual,377
Radeon HD 5550,377
Radeon HD 8470D,376
Radeon HD 8570D + HD8490 Dual,374
PHDGD Ivy 4,374
Radeon HD 8510G,372
Quadro FX 3700,372
GeForce GT 335M,369
GeForce GT 610M / GT 620M / GT 710M / GT 720M / GT,369
GeForce GT 625,368
Quadro FX 2700M,367
Matrox Millennium P690 PCIe x16,367
Radeon HD4670,366
Mobility Radeon HD 3850,366
Radeon HD 7520G N HD 7520G + HD 7600M N HD 7600M D,365
Intel UHD Graphics 605,365
Radeon HD 7620G,364
Radeon HD 7660G + HD 8600M Dual,364
Intel HD 505,359
GeForce GT 705,358
GeForce 9800M GTS,357
Radeon 3015e,356
Radeon HD 7500G + HD 7500M/7600M Dual,356
Radeon HD 6480M,353
Mobility Radeon HD 565v,353
Radeon HD 7580D,351
ZX C-1190,347
GeForce 7950 GT,346
Intel HD 4000,344
Radeon R4,344
FirePro 3D V3750,341
Radeon HD 6620G,341
FireGL V5600,341
Radeon HD 8310E,341
Radeon HD 7660D + HD 7400 Dual,340
Radeon HD 8570D + HD 8470 Dual,338
Radeon HD 6530D,337
Radeon R5 235,336
FirePro RG220,335
Radeon HD 7600G + 8500M/8700M Dual,334
Radeon HD 7600G,334
Radeon HD 8450G,334
Radeon HD 7540D,333
Radeon R5 310,332
NVS 315,331
GeForce 8800 GS,330
GeForce 9600 GSO 512,330
Radeon HD 7450M,330
Radeon HD 7600G + HD 7400M Dual,329
GeForce GT 610,327
GeForce 9700M GT,327
GeForce GT 120 / 9500 GT,325
GeForce 605,324
Radeon E6460,324
GeForce GT 230,323
GeForce GT 520,323
GeForce 9600 GSO,323
FirePro V3800,321
RADEON HD6370D,320
GeForce 240M GT,320
ZX C-1080,319
Mobility Radeon HD 560v,318
Radeon HD 8370D,316
Radeon HD 7420G,316
Radeon R5E,315
Radeon HD 7520G,315
Intel UHD Graphics 600,313
Radeon R3,313
Radeon HD 7520G + 8600/8700M Dual,311
Radeon HD 7500G,311
Quadro FX 3500M,306
Microsoft Basic Display Adapter Ryzen 5 5600G,302
NVS 4200M,302
Radeon R1E,301
Intel HD 500,300
Radeon HD 6520G,300
GRID K120Q,293
GeForce 9600M GT / GeForce GT 220M,293
Radeon HD 2900 GT,292
GeForce 610M,292
IncrediblE HD 3000,291
GeForce 7800 GTX,291
GeForce 510,290
Radeon HD 7470,289
Radeon HD 7450A,288
GeForce 7950 Xtreme,288
GeForce GT 415M,286
GeForce GT 520M,285
GeForce GT 520MX,284
Mobility Radeon HD 5165,284
Radeon HD 2600 XT,283
Intel HD P3000,282
Qualcomm Adreno 630 GPU,282
GeForce 9600 GS,282
Radeon HD 7480D,281
GeForce 9700M GTS,278
Radeon R5 235X,277
Radeon HD 6370M,276
Radeon HD 8400E,276
NVS 310,275
Radeon HD 8400,273
GeForce Go 7900 GTX,270
GeForce 9650M GS,270
Radeon HD 8330,270
GeForce 410M,270
Radeon HD 8280G,270
Radeon HD 5470,268
Radeon HD 7400G,267
Mobility Radeon HD 550v,266
Quadro FX 3500,265
GeForce Go 7950 GTX,264
Radeon HD 8490,263
Radeon HD 8330E,262
Radeon HD 8280,261
Radeon HD 6450A,260
Intel HD 3000,260
Beijing Fantasy Technology Fantasy II-M,259
L4-1Q,259
GeForce 7900 GT,258
Radeon HD 8350G,258
Radeon HD 6480G,257
Radeon HD 8280E,256
Radeon HD 6370D,255
GeForce 7900 GS,254
GeForce GT 415,251
Radeon R2,251
Radeon HD 7640G + 8600M Dual,250
Radeon HD 4650,248
Quadro FX 570,248
Radeon HD 8470,248
GeForce 7900 GT/GTO,247
Radeon HD 8240,246
Mobile Intel HD,245
GeForce 7800 GT,244
Quadro FX 5500,242
Radeon HD4650,240
